i	arc	where	status	verdict	note	quote
455	B874_measurement_ladder	FINDINGS.md sec 4	LEAD	NOISE		The su(2,1) remnant's relation to the layer-8 real-form question -- flagged only.
458	B876_descent	FINDINGS.md sec 5	LEAD	CONSISTENT		Does NOT establish: any generations mechanism; any values; anything about which breaking the world 'chose.'
460	B877_fmt_review	FINDINGS.md sec 4 item 1	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Manifest gap: SS3 cites levi2.py (core type, exact Q) -- absent from the handoff.
462	B878_maass_upper_window	FINDINGS.md sec 4	LEAD	CONSISTENT		No completeness claim for the 43 (the branch's own scope limit, adopted: sub-leading Weyl terms are 43-60% of leading below r = 13.5 -- the budget is a screen).
463	B878_maass_upper_window	FINDINGS.md sec 4	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the arb certification of the 26 upper values is the branch's ... this seat verified the dataset's internal stability, cross-table consistency, and claim arithmetic -- not a re-run of the certification
464	B878_maass_upper_window	branch_FINDINGS.md (r=7.0720 provenance section)	LEAD	NOISE		"This section previously said ""transcription VERIFIED"" -- the durable statement is weaker and stated exactly below."
465	B879_selection_cochain	packet/HANDOFF_CC_SELECTION_COCHAIN.md lines 12-14	LEAD	NOISE		cc3's own reconciliation addendum: NONE of the six claims below are banked anywhere under any name (checked by content, not just title).
466	B879_selection_cochain	packet/w0c_inventory/INVENTORY.md lines 484-495 (Part C, MISSING)	LEAD	CONSISTENT	B879's sentence is self-scoped ('here'); the in-sandbox Habiro recompute exists as B800 (2026-07-29, PARTIAL CONFIRMATION)	M1. ... no frontier cell was found that states or verifies this corollary for the R^{n-2}L family explicitly.
467	B879_selection_cochain	packet/w0c_inventory/INVENTORY.md lines 497-506	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	M2. ... No dedicated frontier B-number/FINDINGS.md was found that computes or verifies either filter independently
468	B879_selection_cochain	packet/w0c_inventory/INVENTORY.md lines 517-526	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	M4. ... No banked cell was found that tabulates conductor primality over general multi-block R/L words as a family-wide sweep
469	B879_selection_cochain	packet/w0d_quantum_scout/SCOUT.md line 183	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"a repo-wide search for ""quantum cochain"", ""tube algebra"", ""Hochschild"", ""categorified Fox"" turned up nothing prior to this cell"
471	B879_selection_cochain	packet/HANDOFF_CC_SELECTION_COCHAIN.md line 49	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	C6 GENUINE, the headline. Zero trace of the amalgam-wall/even-solo construction anywhere in the ~180 new entries.
472	B882_magic_square_naming	"priorart_findings.json, final entry (""UNCONFIRMED / not found"" claim)"	LEAD	CONSISTENT	literature: no single-step E6 -> so(8)+u(1)+u(1) branching table located (B882 prior-art)	no direct single-step branching table for E6 subset so(8)+u(1)+u(1) ... was located in any of the three fetched sources ... The direct composite branching ... is not present in any standard branching-rule table and is not a textbook/classical statement
475	B887_gate_audit	B887_gate_audit/FINDINGS.md section 1, item 4	LEAD	NOISE		Review 37's B877 lesson had no gate at all (FINDINGS without a sibling verdict).
476	B905_kim_litgate	FINDINGS.md, Q1 section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	full-text greps find ZERO occurrences of measurement/observer/operational readings
477	B905_kim_litgate	FINDINGS.md, Q3 section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Exhaustive full-text search of the most relevant 2025 paper: zero occurrences of Freudenthal/magic square/E6; no surveyed source in either literature makes the connection.
480	B907_real_form_selector	DRAFT_COMPLETENESS.md, 'The honest gap (form level)' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	The component group of Z_Aut(C) is not enumerated. A wall-real involution realizing a form other than e6(2) is not fully excluded by this cell.
482	B909_frame_arc	PROGRESS_LOG.md 2026-08-08 (B958 entry)	LEAD	NOISE		B909's directory ships only cmt_correct.py and results.json, with no frame or M12 construction anywhere
483	B909_frame_arc	PROGRESS_LOG.md 2026-08-08 (B978 entry)	LEAD	NOISE		B958/B961's claim that the frame could not be rebuilt without the solo seat's definitions was FALSE -- the definitions were in CMT_DRAFT.md section 2, and B911 had already built the frame; I inspected B909 only
484	B911_cmt_document	B911_cmt_document/CMT_DRAFT.md sec 3, referring to exact (as opposed to mod-p) verification of compact wall dims	LEAD	CONSISTENT	the CMT exact pass had not happened (B911); B906 later re-runs the flavor suite wholesale — partial	the CMT has not yet had that pass -- it is the top open belt
486	B911_cmt_document	B911_cmt_document/CMT_DRAFT.md sec 7 item 5	LEAD	CONSISTENT		The full-78 compact degeneration beyond the core (ledger NU3 part B) -- never computed
487	B913_r3c_design	B913_r3c_design/PREREGISTRATION.md 'Files' section, quoted verbatim in DESIGN_DISPOSITION.md	LEAD	NOISE		This design seal is the cell's entire content; no computation follows under this ID.
489	B918_v_kummer	"/home/user/origin-axiom/frontier/B918_v_kummer/FINDINGS.md ""Registered follow-ups"""	LEAD	NOISE		The 953-residue of the UNIT part of V at the observer's place (and whether the residues 617/107540/... carry structure) -- untouched.
490	B919_weinberg_traces	"/home/user/origin-axiom/frontier/B919_weinberg_traces/results.json (""second_prime_status"")"	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the properly-substituted chain then fails at rational reconstruction (ratrec None) -- the per-prime sqrt-convention relabeling (solo section XLII pattern) needs handling in the Y-anchoring before the second prime can speak. Registered follow-up.
491	B919_weinberg_traces	"/home/user/origin-axiom/frontier/B919_weinberg_traces/results.json (""second_prime_status"")"	LEAD	NOISE		an earlier two_prime=True flag in this file was WRONG for ~minutes before this correction
492	B920_register_sweep	"/home/user/origin-axiom/frontier/B920_register_sweep/SWEEP_REPORT.md ""Honest gaps"" item 2"	LEAD	NOISE		"The origin of cc3's ""41 with five odd"" remains unreconstructed -- the cc3 branch's own context sweep... notes ""41 appears nowhere on cc3's branch""."
493	B920_register_sweep	"/home/user/origin-axiom/frontier/B920_register_sweep/SWEEP_REPORT.md ""Honest gaps"" item 6 / Item 4"	LEAD	NOISE		No claim about cc2's closure was written anywhere (asserted by the audit, no banked referent found).
494	B920_register_sweep	"/home/user/origin-axiom/frontier/B920_register_sweep/SWEEP_REPORT.md ""Honest gaps"" item 7"	LEAD	CONSISTENT		Nothing was committed; all edits are working-tree only, awaiting the owner's/cc's banking pass
495	B921_branch_harvest	harvested/frontier/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md L1 (line ~13-16)	LEAD	SUPERSEDED	frontier/B909_frame_arc exists on main now (R38 read it); the loss-ledger line was true when written (as #628/#757)	the B909 bank ... frontier/B909* DOES NOT EXIST (no dir, no FINDINGS, no test), while B915 (the crossing, the sealed 16sigma MISS in the README) CONSUMES the 3/8 as its boundary condition.
496	B921_branch_harvest	harvested/frontier/B796_coupling_campaign/loss_audit/THE_LOSS_LEDGER.md L4 (line ~44-47)	LEAD	CONSISTENT		B851 §3: 'is B723's system BC/CMR-type for Q(sqrt-3)? -- now the SOLE load-bearing assumption.' Announced inside a six-task campaign (PROGRESS_LOG:9068, B858) -- no B858 directory exists; zero post-B851 occurrences.
497	B921_branch_harvest	HARVEST_MANIFEST.md item 19 (§4, 'From second_round_cm_bost_connes.md')	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	NO Bost-Connes-type system exists on Bianchi groups / H^3 / any hyperbolic 3-manifold (multiple targeted searches; structural reason: no Shimura data for GL(2) over imaginary quadratic on the H^3 side; Maass forms lack the required algebraicity).
498	B921_branch_harvest	harvested/frontier/B796_coupling_campaign/harvest/second_round_cm_bost_connes.md:94	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	If B796 needs KMS_infinity values to be periods of m004's own spectrum, that mathematics does not exist.
499	B921_branch_harvest	harvested/frontier/B796_coupling_campaign/cell9_sec16_verdict3.md:23	LEAD	CONSISTENT		no completed end-to-end run exists on disk (C7).
500	B921_branch_harvest	harvested/frontier/B796_coupling_campaign/cell9_sec16_verdict.md:60	LEAD	CONSISTENT		the sealed pass branch 'convergence to the displaced well' is impossible; no well exists.
501	B921_branch_harvest	harvested/frontier/B796_coupling_campaign/cell9_sec16_verdict.md:74	LEAD	CONSISTENT		Y = 0.80 appears in no validation artifact anywhere in the repo.
502	B921_branch_harvest	HARVEST_MANIFEST.md §4 item 2 (from THE_LOSS_LEDGER L2)	LEAD	NOISE		Harvest trace_norm_split.* (branch: frontier/B792_maass_m004_eigenvalues/trace_norm_split.{py,json,txt} -- NOT in this Stage-1 set)
503	B922_lambda2_receipt	FINDINGS.md correction banner	LEAD	CONSISTENT	B943 carries the same correction	MathSciNet remains unreachable
504	B922_lambda2_receipt	arc_verdict.json claim_one_line	LEAD	CONSISTENT	no priority word banked (MathSciNet unreachable) — B943 same	no priority word is banked because MathSciNet remains unreachable
505	B922_lambda2_receipt	PRIOR_ART_MAASS.md VERDICT table, sub-question 3	LEAD	NOISE		NO PRIOR ART AT THE DEPTH SEARCHED -- with one sharp caveat below that the arc must absorb
506	B924_involution_couplings	FINDINGS.md 'Honest gaps'	LEAD	NOISE		Locks (`tests/`) not yet written; to be added at banking per repo practice.
507	B924_involution_couplings	FINDINGS.md 'Honest gaps'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Chat-1's intended referent could not be located in the repo beyond the masterplan line.
508	B925_second_crossing	FINDINGS.md 'Fact 2'	UNSWEEPABLE	CONSISTENT		no required M5 exists.
509	B925_second_crossing	FINDINGS.md 'Fact 3'	LEAD	CONSISTENT	rho_3 = M5/MU has no required value (B925's own scoping)	The ladder does not demand a top scale: rho_3 = M5/MU has no required value.
510	B925_second_crossing	FINDINGS.md 'Fact 3'	LEAD	NOISE		M_U/M_Pl: recorded as the free interval -- no number to bank.
515	B928_d2_decode	frontier/B928_d2_decode/FINDINGS.md, Q2 'The exact residue'	LEAD	NOISE		What is NOT derived: a pipeline-free closed form for 953 and 2304 = 2^8 3^2 -- the specific integers enter through the eigenline coordinates of the atom solve (the value pipeline's own objects), and where each prime enters those coordinates is open.
516	B928_d2_decode	frontier/B928_d2_decode/FINDINGS.md, Honest gaps #3	LEAD	NOISE		an automorphism outside every swept class is not excluded by this cell.
517	B928_d2_decode	frontier/B928_d2_decode/FINDINGS.md, Honest gaps #4	LEAD	NOISE		Locks (tests/test_b928_decode.py) are the banking seat's step; not written by this agent.
519	B931_why_953	frontier/B931_why_953/FINDINGS.md, Headline 2	LEAD	CONSISTENT	953 born in the interference term (B931's own headline; B928/B931 restate)	no minor, no coordinate, no untwisted norm, and no flip norm knows 953. The prime is born exactly in the interference q' = q - 2*q_f
520	B931_why_953	frontier/B931_why_953/FINDINGS.md, Headline 3	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	no 953 anywhere in any block Gram det, in the pencil charpolys of G^-1G', or in any whitelist invariant of the UPSTREAM objects ... the sweep's only 953-hits are objects downstream of the twist
521	B931_why_953	frontier/B931_why_953/FINDINGS.md, 'The honest residue'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	A pipeline-free closed form for a pipeline-free closed form producing the integer 953 from small data -- remains open. Candidates exhausted by the declared whitelist ... 953 appears in NONE of them.
522	B932_chain_selection	frontier/B932_chain_selection/FINDINGS.md, LEG 2	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	No row matches (derived, center) = (14, 0). The unique dim-14 wall -- the SMT wall -- is su(3)+su(2)+u(1)^3: derived 11 != 14, center 3 != 0.
525	B935_composition_hunt	frontier/B935_composition_hunt/FINDINGS.md, 'The structural reason'	LEAD	NOISE		Zero compositions land in the [1.2, 1.6] band (band_flags = []).
526	B937_golden_and_29	FINDINGS.md section A7 'The honest residue'	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	no analogous derivation of the 5: 5 divides lc(mu13) to the second power and disc(h_S) to the second power, but not disc(K). Where the integer 5 comes from is this arc's open residue
529	B940_dirac_sealed	FINDINGS.md section 7(b), quoting DESIGN sec.8 verbatim	LEAD	NOISE		No numerically computed Dirac/spinor eigenvalue on ANY hyperbolic 3-manifold was found... Completing the sweep (MathSciNet/zbMATH-grade) is obligation O3
531	B940_dirac_sealed	o3_results.json residual_risk	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	MathSciNet not consulted; its review corpus overlaps zbMATH heavily but is not identical.
